Prénom;Nom;Lien wikipédia;Nationalité;Année naissance;Année Décès;Domaine de recherche;Travaux majeurs;Prix et récompenses
Sophie;Adenot;;;;;;;
Denise;Albe-Fessard;;;;;;;
Yvette;Amice;;;;;;;
Nalini;Anantharaman;;;;;;;
Michèle;Audin;;;;;;;
Alexia;Auffèves;;Française;?;;;;
Alice;Ball;;;;;;;
Jeanne;Baret;;;;;;;
Françoise;Barré-Sinoussi;;;;;;;
Denise;Barthomeuf;;;;;;;
Jocelyn;Bell;;Britannique ;1943; ;;;
Madeleine;Brès;;;;;;;
Nathalie;Cabrol;;;;;;;
Simonne;Caillère;;;;;;;
Yvette;Cauchois;;;;;;;
Edmée;Chandon;;Française;1885;1944;;;
Yvonne;Choquet-Bruhat;;;;;;;
Françoise;Combes;https://fr.wikipedia.org/wiki/Fran%C3%A7oise_Combes;Française;1952;;;;
Marthe;Condat;;;;;;;
Anita;Conti;;;;;;;
Eugénie;Cotton;;;;;;;
Hélène;Courtois;;Française;1970;;;;
Radhia;Cousot;;;;;;;
Odile;Croissant;;;;;;;
Marie;Curie;;Franco-polonaise;1867;1934;;;
Alexandra;David-Néel;;;;;;;
Augusta;Déjérine;;;;;;;
Henriette;Delamarre;;;;;;;
Georgette;Délibrias;;;;;;;
Nathalie;Demassieux;;;;;;;
Rose;Dieng;;;;;;;
Emilie;Du Châtelet;;Française;1706;1749;;;
Angélique;Du Coudray;;;;;;;
Louise;Du Pierry;;;;;;;
Marie-Louise;Dubreil-Jacotin;;;;;;;
Audrey;Dussutour;https://fr.wikipedia.org/wiki/Audrey_Dussutour;Française;1977;;Myrmécologie;;
Cynthia;Dwork;;;;;;;
Nicole;El-Karoui;;;;;;;
Valentina;Emiliani;;;;;;;
Jacqueline;Ferrand;;;;;;;
Jacqueline;Ficini;;;;;;;
Rosalind;Franklin;https://fr.wikipedia.org/wiki/Rosalind_Franklin;Britannique;1920;1958;;;
Solène;Gaucher;;;;;;;
Marthe;Gautier;;;;;;;
Sophie;Germain;https://fr.wikipedia.org/wiki/Sophie_Germain;Française;1776;1831;;;
Maria;Goeppert-Mayer;https://fr.wikipedia.org/wiki/Maria_Goeppert-Mayer;Germano-américaine ;1906;1972;;;
Jane;Goodall;https://fr.wikipedia.org/wiki/Jane_Goodall;Britannique;1934;2025;Éthologie, primatologie, anthropologie;Étude des chimpanzés, découverte de leur utilisation d’outils;
Marianne;Grunberg-Manago;;;;;;;
Alice;Guionnet;https://fr.wikipedia.org/wiki/Alice_Guionnet;Française;1969;;Mathématiques;;
Jeanne;Guiot;;;;;;;
Geneviève;Guitel;;;;;;;
Sébastienne;Guyot;https://fr.wikipedia.org/wiki/Sébastienne_Guyot;;;;;;
Margherita;Hack;;;;;;;
Claudie;Haigneré;;;;;;;
Claudine;Hermann;;;;;;;
Caroline;Herschel;;;;;;;
Grace;Hopper;;;;;;;
Andrée;Hoppilliard;;;;;;;
Katherine;Johnson;;;;;;;
Katherine;Johnson;https://fr.wikipedia.org/wiki/Katherine_Johnson;Américaine;1918;2020;;;
Irène;Joliot-Curie;https://fr.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie;Française;1897;1956;;;
Geneviève;Jourdain;;;;;;;
Anne-Marie;Kermarrec;;;;;;;
Dorothéa;Klumpke;;;;;;;
Lydie;Koch;;;;;;;
Adelheid;Kofler;;Autrichienne;1889;1985;;;
Sofia;Kovalevskaia;;;;;;;
Katia;Krafft;;;;;;;
Colette;Kreder;;;;;;;
Anne;L'Huillier;;;;;;;
Isabelle;Laffont;;;;;;;
Hedy;Lamarr;;;;;;;
Dominique;Langevin;;;;;;;
Nicole;Laroche;;;;;;;
Yolande;Le Calvez;;;;;;;
Nicole;Le Douarin;;;;;;;
Henrietta;Leavitt;https://fr.wikipedia.org/wiki/Henrietta_Swan_Leavitt;Américaine;1868;1921;;;
Cornélie;Lebon-De Brambilla;;;;;;;
Nicole-Reine;Lepaute;;;;;;;
Rita;Levi-Montalcini;https://fr.wikipedia.org/wiki/Rita_Levi-Montalcini;Italienne;1909;2012;Neurologie;Découverte du facteur de croissance nerveuse. ;Prix Nobel de physiologie ou médecine en 1986 
Paulette;Libermann;;;;;;;
Ada;Lovelace;;;;;;;
Nicole;Mangin;;;;;;;
Mileva;Marić;https://fr.wikipedia.org/wiki/Mileva_Einstein;Serbe;1875;1948;;;
Valérie;Masson-Delmotte;;;;;;;
Henriette;Mathieu-Faraggi;;;;;;;
Lise;Meitner;https://fr.wikipedia.org/wiki/Lise_Meitner;Autrichienne;1878;1968;;;
Maryam;Mirzakhani;;;;;;;
Cécile;Morette;;;;;;;
Edith;Mourier;;;;;;;
Ethel;Moustacchi;;;;;;;
Suzanne;Noël;;;;;;;
Emmy;Noether;https://fr.wikipedia.org/wiki/Emmy_Noether;Allemande;1882;1935;;;
Yvonne;Odic;;;;;;;
Isabelle;Olivieri;;;;;;;
Marie-Louise;Paris;;;;;;;
Cecilia;Payne;https://fr.wikipedia.org/wiki/Cecilia_Payne-Gaposchkin;Britannique;1900;1979;;;
Madeleine;Pelletier;;;;;;;
Marguerite;Perey;;;;;;;
Rózsa;Péter;https://fr.wikipedia.org/wiki/Rózsa_Péter;;;;;;
Claudine;Picardet;;;;;;;
Lisa;Piccirillo;;;;;;;
Alberte;Pullman;;;;;;;
Pauline;Ramart;;;;;;;
Lucie;Randoin;;;;;;;
Alice;Recoque;;;;;;;
Julia;Robinson;;;;;;;
Marie-Françoise;Roy;;;;;;;
Vera;Rubin;https://fr.wikipedia.org/wiki/Vera_Rubin;Américaine;1928;2016;;;
Laure;Saint-Raymond;;;;;;;
Michelle;Schatzman;;;;;;;
Anne-Marcelle;Schrameck;;;;;;;
Marie-Hélène;Schwartz;;;;;;;
Charlotte;Scott;https://fr.wikipedia.org/wiki/Charlotte_Scott;;;;;;
Sylvia;Serfaty;;;;;;;
Josiane;Serre;;;;;;;
Heidi;Sevestre;;;;;;;
Alice;Sollier;;;;;;;
Hélène;Sparrow;;;;;;;
Donna;Strickland;https://fr.wikipedia.org/wiki/Donna_Strickland;Canadienne;1959; ;;;
Ida;Tacke;https://fr.wikipedia.org/wiki/Ida_Tacke;Allemande ;1896;1978;;;
Bianca;Tchoubar;;;;;;;
Marie-Antoinette;Tonnelat;;;;;;;
María Teresa;Toral;https://fr.wikipedia.org/wiki/María_Teresa_Toral;Espagnole;1911;1995;;;
Thérèse;Tréfouël;;;;;;;
Agnès;Ullmann;;;;;;;
Arlette;Vassy;;;;;;;
Dorothy;Vaughan;https://fr.wikipedia.org/wiki/Dorothy_Vaughan;Américaine;1910;2008;;;
Suzanne;Veil;;;;;;;
Michèle;Vergne;;;;;;;
Maryna;Viazovska;;;;;;;
Jeanne;Villepreux;;;;;;;
Claire;Voisin;;;;;;;
Chien-Shiung;Wu;https://fr.wikipedia.org/wiki/Chien-Shiung_Wu;Chinoise;1912;1997;;;
Toshiko;Yuasa;;;;;;;
Hypathie;;https://fr.wikipedia.org/wiki/Hypatie;Grecque;IVème siècle;Vème siècle;Philosophie, astronomie, mathématiques;;
